sampling_seed,model_seed,arm,gen,accuracy,macro_f1,worst_class_recall,ece_scaled,temperature,train_size,pcf1_tree_cover,pcrec_tree_cover,pcf1_shrubland,pcrec_shrubland,pcf1_grassland,pcrec_grassland,pcf1_cropland,pcrec_cropland,pcf1_built_up,pcrec_built_up,pcf1_bare_sparse_vegetation,pcrec_bare_sparse_vegetation,pcf1_permanent_water,pcrec_permanent_water,pcf1_snow_and_ice,pcrec_snow_and_ice,pcf1_herbaceous_wetland,pcrec_herbaceous_wetland,pcf1_moss_lichen,pcrec_moss_lichen,worst_class_name
42,42,A,0,0.64703,0.6298950551569232,0.2054,0.0063205797505378825,0.9729637950999471,10000,0.6534140017286084,0.6804,0.351791169119689,0.3167,0.2659416067844889,0.2054,0.6819085487077535,0.7203,0.7764310681374552,0.8552,0.46811344840983515,0.4217,0.807271666747679,0.8304,0.8586511421382407,0.8702,0.6395826600803287,0.6927,0.795845239715154,0.8773,grassland
42,42,B,0,0.64703,0.6298950551569232,0.2054,0.0063205797505378825,0.9729637950999471,10000,0.6534140017286084,0.6804,0.351791169119689,0.3167,0.2659416067844889,0.2054,0.6819085487077535,0.7203,0.7764310681374552,0.8552,0.46811344840983515,0.4217,0.807271666747679,0.8304,0.8586511421382407,0.8702,0.6395826600803287,0.6927,0.795845239715154,0.8773,grassland
42,42,C,0,0.64703,0.6298950551569232,0.2054,0.0063205797505378825,0.9729637950999471,10000,0.6534140017286084,0.6804,0.351791169119689,0.3167,0.2659416067844889,0.2054,0.6819085487077535,0.7203,0.7764310681374552,0.8552,0.46811344840983515,0.4217,0.807271666747679,0.8304,0.8586511421382407,0.8702,0.6395826600803287,0.6927,0.795845239715154,0.8773,grassland
42,42,D,0,0.64703,0.6298950551569232,0.2054,0.0063205797505378825,0.9729637950999471,10000,0.6534140017286084,0.6804,0.351791169119689,0.3167,0.2659416067844889,0.2054,0.6819085487077535,0.7203,0.7764310681374552,0.8552,0.46811344840983515,0.4217,0.807271666747679,0.8304,0.8586511421382407,0.8702,0.6395826600803287,0.6927,0.795845239715154,0.8773,grassland
42,42,A,1,0.66138,0.6504547625043873,0.2701,0.009218281671553844,1.0971830475220918,10000,0.6561163807932373,0.6675,0.37755532139093784,0.3583,0.3172235598097363,0.2701,0.6926810514681148,0.7207,0.7851934420138406,0.8453,0.4828922599933562,0.4361,0.825024925224327,0.8275,0.8895839539271174,0.8959,0.6558408034918102,0.6987,0.8224359269313947,0.8937,grassland
42,42,B,1,0.68234,0.669717667386806,0.2625,0.004050430183857689,0.975800701431988,20000,0.6687484986788373,0.696,0.39442377233897596,0.3763,0.3211205578322833,0.2625,0.7135796658037186,0.758,0.7957898607344762,0.8657,0.5066094226641058,0.4484,0.8338804337013827,0.8383,0.9208384710234279,0.9335,0.6839693228582118,0.7313,0.8582166682326412,0.9134,grassland
42,42,C,1,0.62841,0.6101903665966055,0.1808,0.014550557554811239,2.9158550325712174,10000,0.6432342449464923,0.6762,0.3394582518849483,0.3039,0.2406495407959537,0.1808,0.6675412293853074,0.7124,0.7608255766895994,0.846,0.4527268663388467,0.4051,0.79726850058117,0.8231,0.8265124555160143,0.8361,0.6108767424798239,0.6661,0.7628102573478996,0.8344,grassland
42,42,D,1,0.64724,0.629348772158705,0.1903,0.022304142603725194,1.360607473555723,20000,0.6529565423889813,0.6874,0.3605173440121219,0.3331,0.2551109323681212,0.1903,0.6861065088757397,0.7247,0.7697585315869198,0.8639,0.46552013892779115,0.4155,0.8077204269630063,0.8286,0.864365043469521,0.86,0.6396006028636021,0.679,0.7918316501312452,0.8899,grassland
42,42,A,2,0.66668,0.6565035380378532,0.2639,0.006872028519660235,1.1118599156144195,10000,0.6580078125,0.6738,0.3888107673764564,0.3871,0.31956890288205375,0.2639,0.6970990588920152,0.7185,0.7815207821695009,0.8433,0.49223849487137294,0.4487,0.8251993780408287,0.8226,0.9002164928163747,0.9148,0.666318091073296,0.7009,0.836055599756634,0.8932,grassland
42,42,B,2,0.6629,0.6491868124789645,0.2385,0.006788881543874739,0.8810626673980512,30000,0.6640685892439595,0.6816,0.37737464547546423,0.3526,0.29920963492660896,0.2385,0.698161270899912,0.7537,0.7850205538239147,0.8689,0.4873743016759777,0.4362,0.8172107417390436,0.8186,0.8835629921259842,0.8977,0.6557421821657791,0.7203,0.8241432127130002,0.8609,grassland
