sampling_seed,accuracy_BminusD,macrof1_BminusD,worstrec_BminusD,ece_DminusB,ece_ratio_DdivB
42,0.09374000000000005,0.10247737599281892,0.17919999999999997,0.022884122197180983,3.1309158457948114
123,0.08487,0.08957249350795415,0.14659999999999998,0.016815628693401793,4.009137132281533
256,0.08816999999999997,0.09185240417917429,0.137,0.02601277501940727,3.009776612220595
