sampling_seed,arm,gen,class,recall,precision,f1
42,A,5,herbaceous_wetland,0.6857,0.6286211954528786,0.6559211784962694
42,A,5,moss_lichen,0.872,0.7731867352367441,0.8196259046902904
42,A,6,tree_cover,0.6724,0.6298239040839265,0.6504159411878506
42,A,6,shrubland,0.3821,0.40644612275289865,0.39389722179269104
42,A,6,grassland,0.28,0.44500953591862685,0.34372698256813167
42,A,6,cropland,0.7696,0.6307162760203245,0.6932708764976129
42,A,6,built_up,0.8434,0.7276962899050906,0.7812876331635017
42,A,6,bare_sparse_vegetation,0.4409,0.5740885416666667,0.49875565610859734
42,A,6,permanent_water,0.8153,0.8260385005065856,0.8206341217916456
42,A,6,snow_and_ice,0.8914,0.9144439885104637,0.9027749645533726
42,A,6,herbaceous_wetland,0.7184,0.6197377501725327,0.6654316413486476
42,A,6,moss_lichen,0.877,0.800986391451274,0.8372714688051935
42,A,7,tree_cover,0.6442,0.648545253196416,0.6463653238348468
42,A,7,shrubland,0.3826,0.39370240790286065,0.3880718125570545
42,A,7,grassland,0.2247,0.4115384615384615,0.2906856403622251
42,A,7,cropland,0.7709,0.5938222153751348,0.6708728570185363
42,A,7,built_up,0.8484,0.7128812704814721,0.7747591434181088
42,A,7,bare_sparse_vegetation,0.402,0.5630252100840336,0.46907817969661614
42,A,7,permanent_water,0.8127,0.8014002563849719,0.8070105754431259
42,A,7,snow_and_ice,0.8547,0.870987465606848,0.8627668702367133
42,A,7,herbaceous_wetland,0.7067,0.5839048169875237,0.6394607066913994
42,A,7,moss_lichen,0.8263,0.7644555463040059,0.7941755970974097
42,A,8,tree_cover,0.6428,0.6481798931128365,0.6454787367575437
42,A,8,shrubland,0.3792,0.4074352637799506,0.3928108976019061
42,A,8,grassland,0.2785,0.4280006147226064,0.3374326043496698
42,A,8,cropland,0.7513,0.6364252435408725,0.6891080027516624
42,A,8,built_up,0.8462,0.7065798263193053,0.7701128503822351
42,A,8,bare_sparse_vegetation,0.4458,0.5394482090997096,0.488173455978975
42,A,8,permanent_water,0.8061,0.8256683396496979,0.8157668370186714
42,A,8,snow_and_ice,0.8801,0.897420210054043,0.8886757207048013
42,A,8,herbaceous_wetland,0.7139,0.6178277801817396,0.6623985154256553
42,A,8,moss_lichen,0.8715,0.7852058744030994,0.8261055026304565
42,A,9,tree_cover,0.6562,0.6488036385208622,0.6524808591031124
42,A,9,shrubland,0.3622,0.39216110870506715,0.3765855687253067
42,A,9,grassland,0.2888,0.37216494845360826,0.32522522522522523
42,A,9,cropland,0.7183,0.6396260017809439,0.6766839378238342
42,A,9,built_up,0.8344,0.7143835616438357,0.7697416974169742
42,A,9,bare_sparse_vegetation,0.419,0.5448634590377113,0.4737139626907857
42,A,9,permanent_water,0.8179,0.7994330954940866,0.8085611190746874
42,A,9,snow_and_ice,0.8737,0.8597716984845503,0.866679892867771
42,A,9,herbaceous_wetland,0.6813,0.609828141783029,0.6435858681277159
42,A,9,moss_lichen,0.8414,0.7845221445221445,0.811966224366707
42,B,0,tree_cover,0.6804,0.6284869757990024,0.6534140017286085
42,B,0,shrubland,0.3167,0.39562773266708307,0.351791169119689
42,B,0,grassland,0.2054,0.37708830548926014,0.2659416067844889
42,B,0,cropland,0.7203,0.6474024806758943,0.6819085487077535
42,B,0,built_up,0.8552,0.7109485410258541,0.7764310681374551
42,B,0,bare_sparse_vegetation,0.4217,0.5260072346264189,0.46811344840983515
42,B,0,permanent_water,0.8304,0.7853967653456918,0.807271666747679
42,B,0,snow_and_ice,0.8702,0.8474048105949946,0.8586511421382407
