scale,sampling_seed,arm,gen,train_size,overall_accuracy,macro_f1,ece,temperature,worst_recall
S1,123,C,1,1000,0.493,0.4732787533041122,0.0268794763699173,2.378458879530196,0.117
S1,123,D,1,2000,0.4969,0.4744671651417764,0.0259201103076338,1.3450794068608936,0.096
S1,123,A,2,1000,0.5288,0.5151975797164946,0.020942801348865,1.2681235741318662,0.158
S1,123,B,2,3000,0.5407,0.5197493660245971,0.0131400904417037,0.9977602648508976,0.105
S1,123,C,2,1000,0.4883,0.4662643402798642,0.0238148424953222,3.288637821487689,0.098
S1,123,D,2,3000,0.5005,0.4760117318863962,0.0290054239660501,1.6752132530926025,0.086
S1,123,A,3,1000,0.5224,0.5103609328688777,0.0168315014362335,1.3034991880954725,0.147
S1,123,B,3,4000,0.563,0.5466520837669097,0.0095272709950804,1.1431896309939409,0.14
S1,123,C,3,1000,0.4796,0.4524144326734706,0.0214220385387539,3.094415640303864,0.081
S1,123,D,3,4000,0.5039,0.4796845617138229,0.036664809718728,1.984021659869989,0.084
S1,123,A,4,1000,0.5197,0.5040694250392262,0.0177145258322358,1.1517328234784017,0.121
S1,123,B,4,5000,0.5566,0.5353302813865042,0.0106074335008859,1.054989347024796,0.119
S1,123,C,4,1000,0.4714,0.4384815210473808,0.0275317192733287,3.835782601966741,0.036
S1,123,D,4,5000,0.4989,0.4725397570214469,0.0314189268261194,1.9759190704645568,0.068
S1,123,A,5,1000,0.5238,0.5147835732291967,0.0218767352998256,1.3618109951063864,0.221
S1,123,B,5,6000,0.6075,0.593565989924554,0.0239693692266941,1.3297970066767086,0.199
S1,123,C,5,1000,0.2887,0.2171262383072361,0.1037895526573061,0.5308411067066164,0.0
S1,123,D,5,6000,0.5015,0.4743272594420331,0.0357396941393613,2.1786432630910504,0.064
S1,123,A,6,1000,0.511,0.5018596468983703,0.023547261044383,1.3157154801098776,0.171
S1,123,B,6,7000,0.6045,0.5912130965292094,0.015577810165286,1.1920380215545083,0.197
S1,123,C,6,1000,0.1699,0.0702905485467188,0.0319913506135344,1.2306662494331242,0.0
S1,123,D,6,7000,0.5014,0.4753136564778973,0.0369916509866714,2.328560832125981,0.069
S1,123,A,7,1000,0.5227,0.5042929591212663,0.0183115567326545,1.053304855692785,0.121
S1,123,B,7,8000,0.6076,0.5927055007628779,0.0154577301979065,1.1157242991860867,0.191
S1,123,C,7,1000,0.0997,0.018889636552256,0.0058767461657524,1.325480035036856,0.0
S1,123,D,7,8000,0.5024,0.4753958700631752,0.0359832416564226,2.4825923117854165,0.07
S1,123,A,8,1000,0.5183,0.5042134450896849,0.0195742173016071,1.078494697601118,0.169
S1,123,B,8,9000,0.585,0.5686817412421291,0.0122220701828598,1.0146766411472876,0.184
S1,123,C,8,1000,0.1001,0.0185822764687372,0.0016429456114769,4.417651507721099,0.0
S1,123,D,8,9000,0.5027,0.4748597474358761,0.0403059003204107,2.561534461674753,0.066
S1,123,A,9,1000,0.5212,0.5128417165370507,0.0223532849475741,1.314565463989216,0.213
S1,123,B,9,10000,0.6326,0.6200373142895367,0.0136380675837397,1.1352255115160006,0.244
S1,123,C,9,1000,0.1002,0.0187834107045195,0.001599190044403,4.28110649442291,0.0
S1,123,D,9,10000,0.5018,0.4724124504891877,0.0385867932006716,2.548713905722356,0.055
S1,256,A,0,1000,0.5288,0.5166544341940174,0.0174453507348895,1.2762358604016386,0.121
S1,256,B,0,1000,0.5288,0.5166544341940174,0.0174453507348895,1.2762358604016386,0.121
S1,256,C,0,1000,0.5288,0.5166544341940174,0.0174453507348895,1.2762358604016386,0.121
S1,256,D,0,1000,0.5288,0.5166544341940174,0.0174453507348895,1.2762358604016386,0.121
S1,256,A,1,1000,0.5253,0.5146865507903146,0.0237067949324846,1.2206580931860194,0.183
S1,256,B,1,2000,0.5468,0.5310641793576031,0.01503835657835,1.046018074140703,0.13
S1,256,C,1,1000,0.4949,0.4741701224212452,0.0086270548447966,1.774145599458265,0.08
S1,256,D,1,2000,0.5135,0.4951453541104741,0.0182211129724979,1.366826205780005,0.089
S1,256,A,2,1000,0.5143,0.4992580655800703,0.0210870064482092,1.2525621827840387,0.131
S1,256,B,2,3000,0.5531,0.5380046744985962,0.0136587831452488,1.0547051297865344,0.136
S1,256,C,2,1000,0.4714,0.4439254157574096,0.0224004536122083,2.6052629270291368,0.022
S1,256,D,2,3000,0.5125,0.4909345918752738,0.0241500327780842,1.649804303762919,0.058
S1,256,A,3,1000,0.5148,0.5008722075225415,0.0240148490458726,1.338601079774552,0.118
S1,256,B,3,4000,0.5977,0.5857598380594585,0.0206515371739864,1.2925371678060575,0.22
S1,256,C,3,1000,0.4607,0.4307238006399523,0.0388532530635595,3.5765718081593225,0.005
S1,256,D,3,4000,0.5166,0.4971088173827239,0.0258644144266843,1.987838048182464,0.064
S1,256,A,4,1000,0.5014,0.4890062668101517,0.015772100956738,1.027200427333436,0.16
S1,256,B,4,5000,0.5567,0.5387862378420212,0.0181873692587018,1.0045955414992302,0.131
S1,256,C,4,1000,0.4575,0.4271614692771083,0.0434581711754202,3.833822789332923,0.0
S1,256,D,4,5000,0.5169,0.4977847404091348,0.0311232907071709,2.291212000257293,0.06
S1,256,A,5,1000,0.5161,0.5000360306714371,0.0183871743619442,1.1081941446991572,0.11
S1,256,B,5,6000,0.5537,0.5344787891091707,0.0134813798457384,0.9856894155065408,0.121
S1,256,C,5,1000,0.4483,0.4181672645038226,0.0559977756142616,4.378342193026155,0.0
S1,256,D,5,6000,0.5149,0.493966342911485,0.0310260860562324,2.3108331623781297,0.051
S1,256,A,6,1000,0.5248,0.5136358315136398,0.0197583205103874,1.2799762505498562,0.197
S1,256,B,6,7000,0.5687,0.5505598077775927,0.0175278446555137,0.9992448007948782,0.153
S1,256,C,6,1000,0.447,0.4188141992748289,0.04815267431885,4.437378382635402,0.0
S1,256,D,6,7000,0.5136,0.49327495245533,0.0320376853108406,2.4235449894061394,0.058
S1,256,A,7,1000,0.5166,0.5010875195869353,0.013907852089405,1.045153563117569,0.159
S1,256,B,7,8000,0.5787,0.5630502842222919,0.0107590590208768,0.9869890471360862,0.19
S1,256,C,7,1000,0.4336,0.4058399793283092,0.0548977618843317,4.242400762140783,0.0
S1,256,D,7,8000,0.5129,0.4921729013608682,0.0319837573364377,2.4183957304143604,0.051
S1,256,A,8,1000,0.5314,0.5216658266102862,0.013112490299344,1.2591327958805565,0.167
S1,256,B,8,9000,0.628,0.6118210825188893,0.0156299100860953,1.1055252812421033,0.181
S1,256,C,8,1000,0.4306,0.4020095350474907,0.0581687482476234,4.793191094601051,0.0
S1,256,D,8,9000,0.5147,0.4937369689228429,0.0325091836616396,2.692829156264755,0.056
S1,256,A,9,1000,0.5057,0.4936201543633269,0.0266866730883717,1.1065128652653158,0.147
S1,256,B,9,10000,0.6196,0.6051096246082839,0.0131534087225794,1.041584812291327,0.208
S1,256,C,9,1000,0.4197,0.3923516337786825,0.0518539744973182,4.884721426639551,0.0
S1,256,D,9,10000,0.5125,0.4923906422448848,0.033654704760015,2.647568063234655,0.053
S2,42,A,0,3000,0.5637333333333333,0.5521526797477563,0.0137483366509278,1.0459689143691937,0.1866666666666666
