sampling_seed,arm,true_class,pred_class,rate_gen0,rate_gen9,delta,category
42,A,tree_cover,shrubland,0.13740000128746033,0.15889999270439148,0.021499991416931152,none
42,A,tree_cover,grassland,0.028599999845027924,0.04600000008940697,0.017400000244379044,none
42,A,tree_cover,cropland,0.02590000070631504,0.03519999980926514,0.009299999102950096,none
42,A,tree_cover,built_up,0.04450000077486038,0.044199999421834946,-0.0003000013530254364,none
42,A,tree_cover,bare_sparse_vegetation,0.028599999845027924,0.01810000091791153,-0.010499998927116394,none
42,A,tree_cover,permanent_water,0.008299999870359898,0.008899999782443047,0.000599999912083149,none
42,A,tree_cover,snow_and_ice,0.007899999618530273,0.0032999999821186066,-0.004599999636411667,none
42,A,tree_cover,herbaceous_wetland,0.02280000038444996,0.01810000091791153,-0.004699999466538429,none
42,A,tree_cover,moss_lichen,0.015599999576807022,0.011099999770522118,-0.0044999998062849045,none
42,A,shrubland,tree_cover,0.195700004696846,0.17139999568462372,-0.02430000901222229,attenuation
42,A,shrubland,grassland,0.10849999636411667,0.14229999482631683,0.033799998462200165,none
42,A,shrubland,cropland,0.08510000258684158,0.08070000261068344,-0.004399999976158142,persistence
42,A,shrubland,built_up,0.03790000081062317,0.039400000125169754,0.001499999314546585,none
42,A,shrubland,bare_sparse_vegetation,0.08879999816417694,0.07580000162124634,-0.012999996542930603,persistence
42,A,shrubland,permanent_water,0.009499999694526196,0.009700000286102295,0.0002000005915760994,none
42,A,shrubland,snow_and_ice,0.02019999921321869,0.013000000268220901,-0.0071999989449977875,none
42,A,shrubland,herbaceous_wetland,0.08739999681711197,0.0723000019788742,-0.015099994838237762,persistence
42,A,shrubland,moss_lichen,0.050200000405311584,0.03319999948143959,-0.017000000923871994,persistence
42,A,grassland,tree_cover,0.0835999995470047,0.06909999996423721,-0.014499999582767487,persistence
42,A,grassland,shrubland,0.155799999833107,0.17649999260902405,0.020699992775917053,none
42,A,grassland,cropland,0.1193000003695488,0.1136000007390976,-0.005699999630451202,persistence
42,A,grassland,built_up,0.0494999997317791,0.04729999974370003,-0.002199999988079071,none
42,A,grassland,bare_sparse_vegetation,0.12430000305175781,0.10490000247955322,-0.01940000057220459,persistence
42,A,grassland,permanent_water,0.01769999973475933,0.01549999974668026,-0.002199999988079071,none
42,A,grassland,snow_and_ice,0.02449999935925007,0.020500000566244125,-0.003999998793005943,none
42,A,grassland,herbaceous_wetland,0.12319999933242798,0.09759999811649323,-0.025600001215934753,attenuation
42,A,grassland,moss_lichen,0.09669999778270721,0.06620000302791595,-0.03049999475479126,attenuation
42,A,cropland,tree_cover,0.020500000566244125,0.01899999938905239,-0.0015000011771917343,none
42,A,cropland,shrubland,0.04540000110864639,0.049300000071525574,0.003899998962879181,none
42,A,cropland,grassland,0.08009999990463257,0.09030000120401382,0.010200001299381256,persistence
42,A,cropland,built_up,0.05139999836683273,0.04540000110864639,-0.00599999725818634,persistence
42,A,cropland,bare_sparse_vegetation,0.03420000150799751,0.03620000183582306,0.0020000003278255463,none
42,A,cropland,permanent_water,0.006099999882280827,0.005400000140070915,-0.0006999997422099113,none
42,A,cropland,snow_and_ice,0.0007999999797903001,0.0007999999797903001,0.0,none
42,A,cropland,herbaceous_wetland,0.039799999445676804,0.0348999984562397,-0.004900000989437103,none
42,A,cropland,moss_lichen,0.00139999995008111,0.00039999998989515007,-0.0009999999310821295,none
42,A,built_up,tree_cover,0.01600000075995922,0.01730000041425228,0.0012999996542930603,none
42,A,built_up,shrubland,0.015399999916553497,0.01590000092983246,0.0005000010132789612,none
