sampling_seed,arm,pool,class,support,drift_rate
42,D,5,cropland,1000,0.28
42,D,5,built_up,1000,0.09999999999999998
42,D,5,bare_sparse_vegetation,1000,0.5900000000000001
42,D,5,permanent_water,1000,0.16400000000000003
42,D,5,snow_and_ice,1000,0.135
42,D,5,herbaceous_wetland,1000,0.31899999999999995
42,D,5,moss_lichen,1000,0.12
42,D,6,tree_cover,1000,0.28600000000000003
42,D,6,shrubland,1000,0.6659999999999999
42,D,6,grassland,1000,0.8029999999999999
42,D,6,cropland,1000,0.272
42,D,6,built_up,1000,0.12
42,D,6,bare_sparse_vegetation,1000,0.5369999999999999
42,D,6,permanent_water,1000,0.15400000000000003
42,D,6,snow_and_ice,1000,0.14100000000000001
42,D,6,herbaceous_wetland,1000,0.31299999999999994
42,D,6,moss_lichen,1000,0.11699999999999999
42,D,7,tree_cover,1000,0.33399999999999996
42,D,7,shrubland,1000,0.696
42,D,7,grassland,1000,0.817
42,D,7,cropland,1000,0.267
42,D,7,built_up,1000,0.09899999999999998
42,D,7,bare_sparse_vegetation,1000,0.513
42,D,7,permanent_water,1000,0.15200000000000002
42,D,7,snow_and_ice,1000,0.136
42,D,7,herbaceous_wetland,1000,0.30700000000000005
42,D,7,moss_lichen,1000,0.11299999999999999
42,D,8,tree_cover,1000,0.31200000000000006
42,D,8,shrubland,1000,0.657
42,D,8,grassland,1000,0.8140000000000001
42,D,8,cropland,1000,0.267
42,D,8,built_up,1000,0.09499999999999997
42,D,8,bare_sparse_vegetation,1000,0.542
42,D,8,permanent_water,1000,0.14300000000000002
42,D,8,snow_and_ice,1000,0.131
42,D,8,herbaceous_wetland,1000,0.30700000000000005
42,D,8,moss_lichen,1000,0.10499999999999998
42,D,9,tree_cover,1000,0.29600000000000004
42,D,9,shrubland,1000,0.65
42,D,9,grassland,1000,0.784
42,D,9,cropland,1000,0.28600000000000003
42,D,9,built_up,1000,0.118
42,D,9,bare_sparse_vegetation,1000,0.522
42,D,9,permanent_water,1000,0.14800000000000002
42,D,9,snow_and_ice,1000,0.135
42,D,9,herbaceous_wetland,1000,0.30800000000000005
42,D,9,moss_lichen,1000,0.10999999999999999
42,D,10,tree_cover,1000,0.34199999999999997
42,D,10,shrubland,1000,0.62
42,D,10,grassland,1000,0.823
42,D,10,cropland,1000,0.28800000000000003
42,D,10,built_up,1000,0.128
42,D,10,bare_sparse_vegetation,1000,0.618
42,D,10,permanent_water,1000,0.18100000000000005
42,D,10,snow_and_ice,1000,0.15600000000000003
42,D,10,herbaceous_wetland,1000,0.31499999999999995
42,D,10,moss_lichen,1000,0.121
123,C,2,tree_cover,1000,0.373
123,C,2,shrubland,1000,0.618
123,C,2,grassland,1000,0.782
123,C,2,cropland,1000,0.268
123,C,2,built_up,1000,0.15400000000000003
123,C,2,bare_sparse_vegetation,1000,0.646
123,C,2,permanent_water,1000,0.18600000000000005
123,C,2,snow_and_ice,1000,0.14
123,C,2,herbaceous_wetland,1000,0.32799999999999996
123,C,2,moss_lichen,1000,0.10499999999999998
123,C,3,tree_cover,1000,0.374
123,C,3,shrubland,1000,0.598
123,C,3,grassland,1000,0.806
123,C,3,cropland,1000,0.29200000000000004
123,C,3,built_up,1000,0.16000000000000003
123,C,3,bare_sparse_vegetation,1000,0.646
123,C,3,permanent_water,1000,0.19099999999999995
123,C,3,snow_and_ice,1000,0.18300000000000005
123,C,3,herbaceous_wetland,1000,0.34299999999999997
123,C,3,moss_lichen,1000,0.123
123,C,4,tree_cover,1000,0.361
123,C,4,shrubland,1000,0.616
123,C,4,grassland,1000,0.823
123,C,4,cropland,1000,0.30700000000000005
123,C,4,built_up,1000,0.132
123,C,4,bare_sparse_vegetation,1000,0.644
123,C,4,permanent_water,1000,0.20999999999999996
123,C,4,snow_and_ice,1000,0.19899999999999995
123,C,4,herbaceous_wetland,1000,0.381
123,C,4,moss_lichen,1000,0.124
123,C,5,tree_cover,1000,0.388
123,C,5,shrubland,1000,0.604
123,C,5,grassland,1000,0.8260000000000001
123,C,5,cropland,1000,0.28800000000000003
123,C,5,built_up,1000,0.14700000000000002
123,C,5,bare_sparse_vegetation,1000,0.611
123,C,5,permanent_water,1000,0.18899999999999995
123,C,5,snow_and_ice,1000,0.23299999999999998
123,C,5,herbaceous_wetland,1000,0.40800000000000003
123,C,5,moss_lichen,1000,0.16100000000000003
123,C,6,tree_cover,1000,0.377
123,C,6,shrubland,1000,0.613
123,C,6,grassland,1000,0.827
123,C,6,cropland,1000,0.29200000000000004
123,C,6,built_up,1000,0.15200000000000002
123,C,6,bare_sparse_vegetation,1000,0.609
123,C,6,permanent_water,1000,0.16700000000000004
123,C,6,snow_and_ice,1000,0.244
123,C,6,herbaceous_wetland,1000,0.401
123,C,6,moss_lichen,1000,0.15900000000000003
123,C,7,tree_cover,1000,0.361
123,C,7,shrubland,1000,0.601
123,C,7,grassland,1000,0.8180000000000001
123,C,7,cropland,1000,0.30100000000000005
123,C,7,built_up,1000,0.15200000000000002
123,C,7,bare_sparse_vegetation,1000,0.5880000000000001
123,C,7,permanent_water,1000,0.14500000000000002
123,C,7,snow_and_ice,1000,0.274
123,C,7,herbaceous_wetland,1000,0.41700000000000004
123,C,7,moss_lichen,1000,0.16300000000000003
123,C,8,tree_cover,1000,0.381
123,C,8,shrubland,1000,0.591
123,C,8,grassland,1000,0.835
123,C,8,cropland,1000,0.29700000000000004
123,C,8,built_up,1000,0.15200000000000002
123,C,8,bare_sparse_vegetation,1000,0.587
123,C,8,permanent_water,1000,0.17600000000000005
123,C,8,snow_and_ice,1000,0.28700000000000003
123,C,8,herbaceous_wetland,1000,0.40900000000000003
123,C,8,moss_lichen,1000,0.17100000000000004
123,C,9,tree_cover,1000,0.37
123,C,9,shrubland,1000,0.623
123,C,9,grassland,1000,0.845
123,C,9,cropland,1000,0.29200000000000004
123,C,9,built_up,1000,0.14700000000000002
123,C,9,bare_sparse_vegetation,1000,0.5920000000000001
123,C,9,permanent_water,1000,0.18000000000000005
123,C,9,snow_and_ice,1000,0.274
123,C,9,herbaceous_wetland,1000,0.406
123,C,9,moss_lichen,1000,0.16500000000000004
123,C,10,tree_cover,1000,0.40700000000000003
123,C,10,shrubland,1000,0.626
123,C,10,grassland,1000,0.884
123,C,10,cropland,1000,0.30000000000000004
123,C,10,built_up,1000,0.16600000000000004
123,C,10,bare_sparse_vegetation,1000,0.6599999999999999
123,C,10,permanent_water,1000,0.20099999999999996
123,C,10,snow_and_ice,1000,0.28400000000000003
123,C,10,herbaceous_wetland,1000,0.43700000000000006
123,C,10,moss_lichen,1000,0.16500000000000004
123,D,2,tree_cover,1000,0.373
123,D,2,shrubland,1000,0.618
123,D,2,grassland,1000,0.782
123,D,2,cropland,1000,0.268
123,D,2,built_up,1000,0.15400000000000003
123,D,2,bare_sparse_vegetation,1000,0.646
123,D,2,permanent_water,1000,0.18600000000000005
123,D,2,snow_and_ice,1000,0.14
123,D,2,herbaceous_wetland,1000,0.32799999999999996
123,D,2,moss_lichen,1000,0.10499999999999998
123,D,3,tree_cover,1000,0.387
123,D,3,shrubland,1000,0.591
123,D,3,grassland,1000,0.792
123,D,3,cropland,1000,0.28700000000000003
123,D,3,built_up,1000,0.14700000000000002
123,D,3,bare_sparse_vegetation,1000,0.639
123,D,3,permanent_water,1000,0.18100000000000005
123,D,3,snow_and_ice,1000,0.138
123,D,3,herbaceous_wetland,1000,0.33199999999999996
123,D,3,moss_lichen,1000,0.10899999999999999
123,D,4,tree_cover,1000,0.353
123,D,4,shrubland,1000,0.601
123,D,4,grassland,1000,0.786
123,D,4,cropland,1000,0.263
123,D,4,built_up,1000,0.122
123,D,4,bare_sparse_vegetation,1000,0.648
123,D,4,permanent_water,1000,0.19399999999999995
123,D,4,snow_and_ice,1000,0.131
123,D,4,herbaceous_wetland,1000,0.353
123,D,4,moss_lichen,1000,0.10299999999999998
123,D,5,tree_cover,1000,0.372
123,D,5,shrubland,1000,0.5860000000000001
123,D,5,grassland,1000,0.794
123,D,5,cropland,1000,0.237
123,D,5,built_up,1000,0.122
123,D,5,bare_sparse_vegetation,1000,0.5920000000000001
123,D,5,permanent_water,1000,0.16800000000000004
123,D,5,snow_and_ice,1000,0.128
123,D,5,herbaceous_wetland,1000,0.362
123,D,5,moss_lichen,1000,0.12
123,D,6,tree_cover,1000,0.375
123,D,6,shrubland,1000,0.597
123,D,6,grassland,1000,0.8
123,D,6,cropland,1000,0.257
123,D,6,built_up,1000,0.123
123,D,6,bare_sparse_vegetation,1000,0.6
123,D,6,permanent_water,1000,0.15700000000000003
123,D,6,snow_and_ice,1000,0.14100000000000001
123,D,6,herbaceous_wetland,1000,0.344
123,D,6,moss_lichen,1000,0.09899999999999998
123,D,7,tree_cover,1000,0.32899999999999996
123,D,7,shrubland,1000,0.598
123,D,7,grassland,1000,0.776
123,D,7,cropland,1000,0.273
123,D,7,built_up,1000,0.11399999999999999
123,D,7,bare_sparse_vegetation,1000,0.573
123,D,7,permanent_water,1000,0.14300000000000002
123,D,7,snow_and_ice,1000,0.137
123,D,7,herbaceous_wetland,1000,0.32799999999999996
123,D,7,moss_lichen,1000,0.10399999999999998
123,D,8,tree_cover,1000,0.355
123,D,8,shrubland,1000,0.602
123,D,8,grassland,1000,0.79
123,D,8,cropland,1000,0.252
123,D,8,built_up,1000,0.122
123,D,8,bare_sparse_vegetation,1000,0.5429999999999999
123,D,8,permanent_water,1000,0.16100000000000003
123,D,8,snow_and_ice,1000,0.14300000000000002
123,D,8,herbaceous_wetland,1000,0.348
123,D,8,moss_lichen,1000,0.09499999999999997
123,D,9,tree_cover,1000,0.31999999999999995
123,D,9,shrubland,1000,0.579
123,D,9,grassland,1000,0.798
123,D,9,cropland,1000,0.243
123,D,9,built_up,1000,0.133
123,D,9,bare_sparse_vegetation,1000,0.5529999999999999
123,D,9,permanent_water,1000,0.17400000000000004
123,D,9,snow_and_ice,1000,0.132
123,D,9,herbaceous_wetland,1000,0.32299999999999995
123,D,9,moss_lichen,1000,0.10399999999999998
123,D,10,tree_cover,1000,0.36
123,D,10,shrubland,1000,0.609
123,D,10,grassland,1000,0.8220000000000001
123,D,10,cropland,1000,0.251
123,D,10,built_up,1000,0.122
123,D,10,bare_sparse_vegetation,1000,0.634
123,D,10,permanent_water,1000,0.18400000000000005
123,D,10,snow_and_ice,1000,0.14800000000000002
123,D,10,herbaceous_wetland,1000,0.353
123,D,10,moss_lichen,1000,0.09199999999999997
256,C,2,tree_cover,1000,0.372
256,C,2,shrubland,1000,0.647
256,C,2,grassland,1000,0.783
256,C,2,cropland,1000,0.235
256,C,2,built_up,1000,0.14800000000000002
256,C,2,bare_sparse_vegetation,1000,0.613
256,C,2,permanent_water,1000,0.19799999999999995
256,C,2,snow_and_ice,1000,0.127
256,C,2,herbaceous_wetland,1000,0.29600000000000004
256,C,2,moss_lichen,1000,0.13
256,C,3,tree_cover,1000,0.351
256,C,3,shrubland,1000,0.645
256,C,3,grassland,1000,0.819
256,C,3,cropland,1000,0.28200000000000003
256,C,3,built_up,1000,0.16200000000000003
256,C,3,bare_sparse_vegetation,1000,0.62
256,C,3,permanent_water,1000,0.17700000000000005
256,C,3,snow_and_ice,1000,0.15300000000000002
256,C,3,herbaceous_wetland,1000,0.33599999999999997
256,C,3,moss_lichen,1000,0.14100000000000001
256,C,4,tree_cover,1000,0.364
256,C,4,shrubland,1000,0.661
256,C,4,grassland,1000,0.852
256,C,4,cropland,1000,0.272
256,C,4,built_up,1000,0.15900000000000003
256,C,4,bare_sparse_vegetation,1000,0.606
256,C,4,permanent_water,1000,0.19599999999999995
256,C,4,snow_and_ice,1000,0.17000000000000004
256,C,4,herbaceous_wetland,1000,0.356
256,C,4,moss_lichen,1000,0.14900000000000002
256,C,5,tree_cover,1000,0.33599999999999997
256,C,5,shrubland,1000,0.649
256,C,5,grassland,1000,0.86
